N,PROFILE,FOLLOWERS,POSTS,Platform
9,cznburak ,58800000,1870,TikTok
10,dixie ,57400000,472,TikTok
11,Spencer X ,5.50E+07,1302,TikTok
12,Dominik ,53500000,1333,TikTok
13,The Rock ,52800000,77,TikTok
14,Jason Derulo ,52400000,776,TikTok
15,Michael Le ,51400000,1270,TikTok
16,BTS ,50400000,54,TikTok
17,YZ ,46600000,1325,TikTok
18,Riyaz ,44900000,2055,TikTok
19,<U+C6D0><U+C815><U+B9E8> WonJeong ,44200000,1165,TikTok
20,Kris HC ,44100000,1329,TikTok
21,Brent Rivera ,43500000,1110,TikTok
22,Junya/<U+3058><U+3085><U+3093><U+3084> ,42500000,3180,TikTok
23,JoJo Siwa ,41600000,1618,TikTok
24,avani ,41300000,5936,TikTok
25,<U+0425><U+041E><U+041C><U+042F><U+041A> ,41200000,1214,TikTok
26,Joe ,4.10E+07,1919,TikTok
27,Selena Gomez ,4.10E+07,129,TikTok
28,ROD<U+0001FAE0> ,40700000,2352,TikTok
29,Carlos Feria ,3.90E+07,4046,TikTok
30,ondy mikula ,38800000,13200,TikTok
31,MrBeast ,3.70E+07,213,TikTok
32,<U+0410>nokhina Liza ,36200000,1664,TikTok
33,James Charles ,36200000,364,TikTok
34,BabyAriel ,35700000,2436,TikTok
35,Karol G ,3.50E+07,51,TikTok
36,tuzelity ,34400000,1805,TikTok
37,noah beck ,33400000,2260,TikTok
38,wigofellas,33100000,1497,TikTok
39,Mia K. ,32900000,489,TikTok
40,Gordon Ramsay ,32400000,283,TikTok
41,kyle thomas <U+270C><U+FE0F> ,32200000,9213,TikTok
42,Huddy ,32200000,3975,TikTok
43,Virginia ,31900000,970,TikTok
44,BRIANDA <U+0001F496> ,31300000,3140,TikTok
45,Stokes Twins ,31200000,593,TikTok
46,Q Park ,31200000,296,TikTok
47,Benji Krol ,30900000,2372,TikTok
48,Kika Kim ,30600000,1057,TikTok
49,Liza Koshy ,29700000,186,TikTok
50,D A R I A NR O J A S ,29500000,512,TikTok
51,blackpinkofficial ,29400000,102,TikTok
52,Kira Kosarin ,29200000,1181,TikTok
53,Savannah LaBrant ,29200000,1909,TikTok
54,Kevin Hart ,29100000,72,TikTok
55,Topper Guild ,28800000,1728,TikTok
56,Arishfa Khan<U+0001F981> ,28700000,2016,TikTok
57,Kody Antle ,28600000,232,TikTok
58,Fernanda,28400000,3560,TikTok
59,JD Pantoja ,28300000,712,TikTok
60,flighthouse ,28300000,4606,TikTok
61,Ignacia Antonia<U+0001F451> ,28100000,5859,TikTok
62,lil nas x ,28100000,771,TikTok
63,Nisha Guragain ,28100000,1803,TikTok
64,Tirullipa ,28100000,2324,TikTok
65,Naim Darrechi<U+0001F3C6> ,2.80E+07,2979,TikTok
66,Camilo ,27800000,365,TikTok
67,ThatLittlePuff ,27700000,613,TikTok
68,arianagrande ,27300000,51,TikTok
69,psg ,27300000,648,TikTok
70,KEEMOKAZI ,27300000,1629,TikTok
71,Lele Pons ,27200000,374,TikTok
72,KingBach ,26600000,616,TikTok
73,Oneya D’Amelio ,26400000,528,TikTok
74,JeanCarlo Leon ,26300000,1607,TikTok
75,Daniel LaBelle ,26100000,290,TikTok
76,DAVID DOBRIK ,2.60E+07,594,TikTok
77,Kunno ,25900000,7466,TikTok
78,Era Ays ,25900000,4233,TikTok
79,LARRAY ,25700000,735,TikTok
80,Josh Richards ,25600000,2177,TikTok
81,ROSÉ ,25600000,50,TikTok
82,Celina Myers ,25500000,1399,TikTok
83,YOLO HOUSE ,25500000,2433,TikTok
84,adrilatinatv ,2.50E+07,2776,TikTok
85,Larissa Manoela ,2.50E+07,718,TikTok
86,TikTok_India ,24900000,184,TikTok
87,Doja Cat ,24800000,123,TikTok
88,Dina ,24700000,406,TikTok
89,Justin Bieber ,24700000,58,TikTok
90,DonaldDucc <U+0001F986> ,24600000,2062,TikTok
91,SwagBoyQ on IG ,24500000,1379,TikTok
92,Sameeksha ,24400000,3318,TikTok
93,karolsevillaofc ,24400000,342,TikTok
94,Malu Trevejo ,24300000,2795,TikTok
95,ESPN ,2.40E+07,6492,TikTok
96,JAY CROES<U+0001F4A0> ,2.40E+07,2861,TikTok
97,Christoph ,23700000,2202,TikTok
98,Jacob Sartorius ,23700000,1942,TikTok
99,lizzo ,23500000,1270,TikTok
100,<U+0001F49B>julia menu garcia<U+0001F49B> ,23400000,4276,TikTok
